id,seen,speed,direction,
29e6a7dd,1519886183263,0.0,left,
e78be3f8,1519886183454,0.0,left,
f8735e9d,1519886183507,0.0,left,
1170ea94,1519886183663,29.13,left,
47912469,1519886205056,43.27,left,
0efee122,1519886210436,46.81,right,
317d6f2f,1519886212687,56.07,right,
5dd7cc8f,1519886215169,59.21,right,
a27ff1ee,1519886217906,29.95,left,
516da6bc,1519886218094,0.0,left,
697678a2,1519886221838,42.76,left,
5fde1371,1519886223564,43.27,left,
1b671eda,1519886226096,38.75,left,
91dff3eb,1519886226176,40.91,left,
03b5f65a,1519886243189,56.25,right,
117835a6,1519886246581,0.0,right,
444db6cb,1519886262815,47.0,left,
f70da612,1519886276110,68.05,right,
f94db2d1,1519886280975,0.0,left,
2bf5c2c2,1519886281247,0.0,left,
21b79436,1519886281343,53.49,left,
445b2354,1519886288750,0.0,right,
1e809a1e,1519886289151,0.0,right,
d6f2179c,1519886325662,43.27,left,
2658b23e,1519886327327,46.69,left,
25b8c0dc,1519886333666,51.14,left,
2a0b9684,1519886335359,54.55,right,
5258abb3,1519886336561,48.78,left,
f0c1d665,1519886338241,53.49,right,
62358f38,1519886339630,49.18,left,
02b59a39,1519886342248,46.81,left,
e5cd583b,1519886343809,47.94,left,
9f34f6bb,1519886347775,56.34,right,
b3cf450a,1519886349264,56.07,right,
b837fcf7,1519886353167,58.92,right,
fb18fa79,1519886355535,60.61,right,
88eb5a75,1519886356640,0.0,right,
ea25fb3a,1519886357280,0.0,right,
5a6d70cc,1519886360271,53.65,left,
0c3de342,1519886370241,46.88,left,
b8d18cea,1519886389950,47.18,left,
29427846,1519886393647,48.91,right,
681d3372,1519886395393,46.88,right,
2ca51ca9,1519886396721,46.69,right,
22eaf5c9,1519886397824,46.81,right,
0ab8bbb2,1519886401856,48.85,left,
4a402d46,1519886404164,49.05,left,
5a7c9db4,1519886411919,50.07,right,
84d15134,1519886413519,51.06,right,
254bce49,1519886415454,53.73,right,
2b521833,1519886417264,52.48,right,
f74a6a88,1519886427021,59.11,left,
4b1a1e43,1519886438093,56.51,left,
b0e4e169,1519886445537,64.52,right,
825ad181,1519886455135,43.27,left,
67197387,1519886468880,72.58,right,
6596fdca,1519886472270,69.77,right,
fc7c9634,1519886488143,59.31,right,
44997490,1519886489279,48.65,left,
49c7ed8b,1519886491825,42.01,left,
b75663c6,1519886506969,62.39,right,
5f1056fb,1519886518031,53.49,right,
447729c2,1519886526658,52.02,right,
b879b4f7,1519886529935,0.0,left,
7dc1958f,1519886530193,25.55,left,
4f06c6b1,1519886530193,0.0,left,
5b77f76d,1519886530806,0.0,right,
cd6fb45d,1519886530861,0.0,right,
f05ea11c,1519886530829,0.0,right,
2e82bfd1,1519886530895,0.0,right,
d5552e05,1519886535138,51.87,left,
95878196,1519886549838,54.3,right,
aae57431,1519886550942,59.11,right,
5a7bf1a0,1519886564417,53.49,right,
462e2ff9,1519886566334,57.6,right,
4096266c,1519886574015,58.82,right,
03b5a528,1519886578273,58.82,right,
a1b89bf7,1519886579809,51.14,left,
d4112d14,1519886582576,46.81,left,
71dd558d,1519886588718,68.05,right,
c37c3018,1519886590047,53.57,left,
9589b17f,1519886604129,51.06,right,
e20eb361,1519886610863,64.98,right,
8a5c1a77,1519886635296,35.12,left,
c2806327,1519886636831,57.6,right,
99c8729b,1519886646462,43.27,left,
01ff86f6,1519886648798,42.4,left,
4987fbae,1519886650702,0.0,left,
a787cc0f,1519886652511,53.65,right,
67e2bb6a,1519886653782,46.81,left,
f60a8493,1519886658545,45.0,left,
773f0650,1519886659968,45.06,left,
2a3ff5a8,1519886665071,41.67,left,
9fa9dfb3,1519886668640,48.78,left,
d8bf9cf7,1519886677042,66.06,right,
4f5d75c5,1519886695982,61.54,right,
df3cc73b,1519886698415,0.0,left,
388f1f94,1519886703552,60.81,right,
e033d444,1519886717326,56.43,right,
9a0c85f2,1519886718494,59.31,right,
e4f57a49,1519886727135,49.11,left,
07fea291,1519886738443,55.99,right,
904c99a5,1519886739798,51.14,right,
834f3a24,1519886741838,58.25,right,
0f02d611,1519886755167,63.94,right,
21811802,1519886774113,0.0,left,
09abba90,1519886774639,44.94,left,
67977406,1519886779583,47.0,left,
9292e2d4,1519886788851,0.0,left,
a8e18948,1519886791983,51.06,right,
0538ec1e,1519886794319,53.49,right,
ee8330ff,1519886794351,49.05,right,
8efbcdab,1519886795393,48.85,right,
e684d2d6,1519886823727,56.69,right,
e84646b3,1519886825298,53.57,right,
e2bd574b,1519886828128,53.49,right,
c23bd4fc,1519886841726,39.05,left,
